Broncos Year	Broncos Win	Broncos Defense	Broncos Attack	Broncos Margin	Broncos Home	Broncos Versus	Broncos Round	Roosters Year	Roosters Win	Roosters Defense	Roosters Attack	Roosters Margin	Roosters Home	Roosters Versus	Roosters Round	Wests Tigers Year	Wests Tigers Win	Wests Tigers Defense	Wests Tigers Attack	Wests Tigers Margin	Wests Tigers Home	Wests Tigers Versus	Wests Tigers Round	Rabbitohs Year	Rabbitohs Win	Rabbitohs Defense	Rabbitohs Attack	Rabbitohs Margin	Rabbitohs Home	Rabbitohs Versus	Rabbitohs Round	Storm Year	Storm Win	Storm Defense	Storm Attack	Storm Margin	Storm Home	Storm Versus	Storm Round	Eels Year	Eels Win	Eels Defense	Eels Attack	Eels Margin	Eels Home	Eels Versus	Eels Round	Raiders Year	Raiders Win	Raiders Defense	Raiders Attack	Raiders Margin	Raiders Home	Raiders Versus	Raiders Round	Knights Year	Knights Win	Knights Defense	Knights Attack	Knights Margin	Knights Home	Knights Versus	Knights Round	Dragons Year	Dragons Win	Dragons Defense	Dragons Attack	Dragons Margin	Dragons Home	Dragons Versus	Dragons Round	Sea Eagles Year	Sea Eagles Win	Sea Eagles Defense	Sea Eagles Attack	Sea Eagles Margin	Sea Eagles Home	Sea Eagles Versus	Sea Eagles Round	Panthers Year	Panthers Win	Panthers Defense	Panthers Attack	Panthers Margin	Panthers Home	Panthers Versus	Panthers Round	Sharks Year	Sharks Win	Sharks Defense	Sharks Attack	Sharks Margin	Sharks Home	Sharks Versus	Sharks Round	Bulldogs Year	Bulldogs Win	Bulldogs Defense	Bulldogs Attack	Bulldogs Margin	Bulldogs Home	Bulldogs Versus	Bulldogs Round	Dolphins Year	Dolphins Win	Dolphins Defense	Dolphins Attack	Dolphins Margin	Dolphins Home	Dolphins Versus	Dolphins Round	Titans Year	Titans Win	Titans Defense	Titans Attack	Titans Margin	Titans Home	Titans Versus	Titans Round	Cowboys Year	Cowboys Win	Cowboys Defense	Cowboys Attack	Cowboys Margin	Cowboys Home	Cowboys Versus	Cowboys Round	Warriors Year	Warriors Win	Warriors Defense	Warriors Attack	Warriors Margin	Warriors Home	Warriors Versus	Warriors Round
2023	0	24	16	-8	0	4	11	2023	0	48	4	-44	0	10	11	2023	0	20	0	-20	0	3	11	2023	1	0	20	20	1	2	11	2023	1	16	24	8	1	0	11	2023	0	26	18	-8	0	6	11	2023	1	18	26	8	1	5	11	2023	1	26	46	20	1	14	11	2023	0	42	22	-20	0	15	11	2023	0	20	14	-6	1	11	11	2023	1	4	48	44	1	1	11	2023	1	14	20	6	0	9	11	2023	0	24	12	-12	1	16	11	2023	-1	-1	-1	0	-1	-1	11	2023	0	46	26	-20	0	7	11	2023	1	22	42	20	1	8	11	2023	1	12	24	12	0	12	11
2023	0	15	4	-11	1	10	12	2023	0	24	22	-2	0	8	12	2023	1	18	66	48	1	15	12	2023	0	36	16	-20	1	5	12	2023	1	16	24	8	0	13	12	2023	1	16	36	20	0	3	12	2023	0	42	14	-28	1	9	12	2023	0	26	6	-20	0	11	12	2023	1	22	24	2	1	1	12	2023	1	14	42	28	0	6	12	2023	1	4	15	11	0	0	12	2023	1	6	26	20	1	7	12	2023	1	18	20	2	1	14	12	2023	0	24	16	-8	1	4	12	2023	0	20	18	-2	0	12	12	2023	0	66	18	-48	0	2	12	2023	-1	-1	-1	0	-1	-1	12
2023	1	22	26	4	0	16	13	2023	-1	-1	-1	0	-1	-1	13	2023	-1	-1	-1	0	-1	-1	13	2023	0	33	26	-7	1	6	13	2023	-1	-1	-1	0	-1	-1	13	2023	1	16	24	8	1	15	13	2023	1	26	33	7	0	3	13	2023	1	18	28	10	1	9	13	2023	0	26	12	-14	0	13	13	2023	0	28	18	-10	0	7	13	2023	-1	-1	-1	0	-1	-1	13	2023	-1	-1	-1	0	-1	-1	13	2023	-1	-1	-1	0	-1	-1	13	2023	1	12	26	14	1	8	13	2023	-1	-1	-1	0	-1	-1	13	2023	0	24	16	-8	0	5	13	2023	0	26	22	-4	1	0	13
2023	1	12	20	8	0	11	14	2023	1	24	25	1	1	12	14	2023	0	20	19	-1	1	6	14	2023	1	28	46	18	0	14	14	2023	0	45	20	-25	0	15	14	2023	-1	-1	-1	0	-1	-1	14	2023	1	19	20	1	0	2	14	2023	-1	-1	-1	0	-1	-1	14	2023	0	26	18	-8	0	10	14	2023	-1	-1	-1	0	-1	-1	14	2023	1	18	26	8	1	8	14	2023	0	20	12	-8	1	0	14	2023	0	25	24	-1	0	1	14	2023	0	30	8	-22	0	16	14	2023	0	46	28	-18	1	3	14	2023	1	20	45	25	1	4	14	2023	1	8	30	22	1	13	14
2023	1	20	24	4	1	7	15	2023	0	30	6	-24	1	10	15	2023	0	28	12	-16	0	14	15	2023	0	36	30	-6	0	8	15	2023	1	10	54	44	1	11	15	2023	1	12	34	22	0	12	15	2023	0	36	14	-22	1	16	15	2023	0	24	20	-4	0	0	15	2023	1	30	36	6	1	3	15	2023	1	18	58	40	1	13	15	2023	1	6	30	24	0	1	15	2023	0	54	10	-44	0	4	15	2023	0	34	12	-22	1	5	15	2023	0	58	18	-40	0	9	15	2023	1	12	28	16	1	2	15	2023	-1	-1	-1	0	-1	-1	15	2023	1	14	36	22	0	6	15
2023	-1	-1	-1	0	-1	-1	16	2023	1	16	18	2	0	7	16	2023	0	28	6	-22	1	4	16	2023	-1	-1	-1	0	-1	-1	16	2023	1	6	28	22	0	2	16	2023	1	4	34	30	1	9	16	2023	-1	-1	-1	0	-1	-1	16	2023	0	18	16	-2	1	1	16	2023	-1	-1	-1	0	-1	-1	16	2023	0	34	4	-30	0	5	16	2023	0	27	23	-4	0	15	16	2023	1	10	48	38	1	12	16	2023	0	48	10	-38	0	11	16	2023	-1	-1	-1	0	-1	-1	16	2023	-1	-1	-1	0	-1	-1	16	2023	1	23	27	4	1	10	16	2023	-1	-1	-1	0	-1	-1	16
2023	0	18	12	-6	1	14	17	2023	0	20	18	-2	1	6	17	2023	-1	-1	-1	0	-1	-1	17	2023	0	31	6	-25	1	15	17	2023	1	6	24	18	1	9	17	2023	1	20	48	28	0	13	17	2023	1	18	20	2	0	1	17	2023	0	20	12	-8	0	10	17	2023	0	48	18	-30	1	16	17	2023	0	24	6	-18	0	4	17	2023	1	12	20	8	1	7	17	2023	-1	-1	-1	0	-1	-1	17	2023	-1	-1	-1	0	-1	-1	17	2023	0	48	20	-28	1	5	17	2023	1	12	18	6	0	0	17	2023	1	6	31	25	0	3	17	2023	1	18	48	30	0	8	17
2023	1	16	24	8	1	13	18	2023	0	18	16	-2	0	9	18	2023	0	74	0	-74	0	15	18	2023	1	6	28	22	0	16	18	2023	0	34	16	-18	1	10	18	2023	-1	-1	-1	0	-1	-1	18	2023	1	22	26	4	1	14	18	2023	1	0	66	66	0	12	18	2023	0	52	16	-36	0	11	18	2023	1	16	18	2	1	1	18	2023	1	16	34	18	0	4	18	2023	1	16	52	36	1	8	18	2023	0	66	0	-66	1	7	18	2023	0	24	16	-8	0	0	18	2023	0	26	22	-4	0	6	18	2023	1	0	74	74	1	2	18	2023	0	28	6	-22	1	3	18
2023	-1	-1	-1	0	-1	-1	19	2023	-1	-1	-1	0	-1	-1	19	2023	0	36	12	-24	1	11	19	2023	0	36	32	-4	1	12	19	2023	-1	-1	-1	0	-1	-1	19	2023	0	46	10	-36	1	16	19	2023	1	26	36	10	0	8	19	2023	-1	-1	-1	0	-1	-1	19	2023	0	36	26	-10	1	6	19	2023	-1	-1	-1	0	-1	-1	19	2023	-1	-1	-1	0	-1	-1	19	2023	1	12	36	24	0	2	19	2023	1	32	36	4	0	3	19	2023	1	21	23	2	0	14	19	2023	0	23	21	-2	1	13	19	2023	-1	-1	-1	0	-1	-1	19	2023	1	10	46	36	0	5	19
2023	1	24	44	20	0	12	20	2023	0	30	16	-14	1	4	20	2023	0	34	18	-16	0	7	20	2023	-1	-1	-1	0	-1	-1	20	2023	1	16	30	14	0	1	20	2023	1	24	25	1	1	14	20	2023	-1	-1	-1	0	-1	-1	20	2023	1	18	34	16	1	2	20	2023	-1	-1	-1	0	-1	-1	20	2023	0	19	8	-11	1	15	20	2023	1	14	24	10	0	13	20	2023	0	44	12	-32	0	16	20	2023	0	44	24	-20	1	0	20	2023	0	24	14	-10	1	10	20	2023	0	25	24	-1	0	5	20	2023	1	8	19	11	0	9	20	2023	1	12	44	32	1	11	20
2023	1	20	36	16	0	3	21	2023	1	18	36	18	0	14	21	2023	0	18	14	-4	0	8	21	2023	0	36	20	-16	1	0	21	2023	0	26	18	-8	0	7	21	2023	0	24	16	-8	0	15	21	2023	0	21	20	-1	0	16	21	2023	1	18	26	8	1	4	21	2023	1	14	18	4	1	2	21	2023	1	26	30	4	0	11	21	2023	1	18	44	26	1	12	21	2023	0	30	26	-4	1	9	21	2023	0	44	18	-26	0	10	21	2023	-1	-1	-1	0	-1	-1	21	2023	0	36	18	-18	1	1	21	2023	1	16	24	8	1	5	21	2023	1	20	21	1	1	6	21
2023	1	10	32	22	1	1	22	2023	0	32	10	-22	0	0	22	2023	0	32	18	-14	1	3	22	2023	1	18	32	14	0	2	22	2023	1	16	46	30	1	5	22	2023	0	46	16	-30	0	4	22	2023	0	28	6	-22	1	7	22	2023	1	6	28	22	0	6	22	2023	0	24	18	-6	1	9	22	2023	1	18	24	6	0	8	22	2023	1	0	28	28	1	11	22	2023	0	28	0	-28	0	10	22	2023	1	22	23	1	1	13	22	2023	0	23	22	-1	0	12	22	2023	1	13	22	9	1	15	22	2023	0	22	13	-9	0	14	22	2023	-1	-1	-1	0	-1	-1	22
